WKT,ID,LINEASUB
"LINESTRING (-58.4623784089615 -34.5556417667995,-58.4599252709363 -34.5582770516747,-58.4582680661059 -34.5602151991639,-58.4564891346517 -34.5623090880051)",61,LINEA D
"LINESTRING (-58.3699298510178 -34.6029894969716,-58.3750715187716 -34.6032972862158)",62,LINEA B
"LINESTRING (-58.4550292863567 -34.5871978537495,-58.4588268149036 -34.5859923977936,-58.4601458379594 -34.585650466796,-58.4606378806339 -34.5856812530182,-58.4610348227011 -34.5857154556533,-58.4613945498086 -34.5858693446106,-58.4632906595855 -34.5851696638184,-58.4648429647074 -34.5845835415078,-58.466227204617 -34.5840946203706)",63,LINEA B
"LINESTRING (-58.466227204617 -34.5840946203706,-58.4679120795487 -34.5835769703209,-58.470126448041 -34.5828203782978,-58.4710410661857 -34.5825018024029,-58.4715038367419 -34.5823467860594,-58.4724093003597 -34.5821244395329,-58.4732734123894 -34.5818986702112,-58.4737530144124 -34.5817823592971,-58.4742408266727 -34.5812488472338)",64,LINEA B
"LINESTRING (-58.4411776244941 -34.6204052134137,-58.4486476546517 -34.6235289531268)",69,LINEA A
"LINESTRING (-58.4486476546517 -34.6235289531268,-58.4567097990004 -34.6266665940388)",70,LINEA A
"LINESTRING (-58.4742408266727 -34.5812488472338,-58.4749964987569 -34.5804707436348,-58.4754241208521 -34.5799582841298,-58.4772227097052 -34.5795329952448,-58.478988076277 -34.5791249385084,-58.4801064142394 -34.5783919365999,-58.4810135041216 -34.5777973778049)",74,LINEA B
"LINESTRING (-58.4810135041216 -34.5777973778049,-58.4814016326277 -34.5775148772525,-58.4827374334635 -34.5766201205824,-58.484292157272 -34.5755802340758,-58.4853969801097 -34.5749628948098,-58.4863230610887 -34.5744061505659,-58.4863853484926 -34.5743189142064)",75,LINEA B
"LINESTRING (-58.4567097990004 -34.6266665940388,-58.4578380673239 -34.6271310110919,-58.4588540103022 -34.627548737554,-58.4598574398974 -34.6279556097985,-58.4600185451646 -34.6280163901457,-58.4612069495857 -34.6284157197185,-58.4627118749209 -34.6288497575431,-58.4635405106623 -34.6290872274132)",76,LINEA A
"LINESTRING (-58.4635405106623 -34.6290872274132,-58.4641120216056 -34.6292517346989,-58.4653436575116 -34.6296063035714,-58.4655198496011 -34.6296517236814,-58.4669095416022 -34.6300096533569,-58.4674445134953 -34.6301459058789,-58.4683035904425 -34.630363693609,-58.4696396292697 -34.6307070870644)",77,LINEA A
"LINESTRING (-58.4054503284842 -34.6044902016081,-58.4059842975003 -34.6067129750345,-58.4061301836264 -34.607619907299,-58.4060363810352 -34.6089352416216)",71,LINEA H
"LINESTRING (-58.4060363810352 -34.6089352416216,-58.4059414237042 -34.610347916,-58.4058654428141 -34.6112225838274,-58.4058440128883 -34.6113789123634,-58.4058192862272 -34.6115349078623,-58.4057912703446 -34.611690522804,-58.4057254059784 -34.6120004215304,-58.4056875775223 -34.6121546109116,-58.405646499894 -34.6123082309577,-58.4056021855889 -34.6124612348713,-58.4054787340134 -34.6128414122549,-58.4052197593 -34.6136075035647,-58.4051534739308 -34.6138092484591,-58.4050589758137 -34.6141140537209,-58.404983509237 -34.614372045464,-58.40473171649 -34.6152421522706)",65,LINEA H
"LINESTRING (-58.40473171649 -34.6152421522706,-58.4045804882594 -34.6157647419734,-58.4043154951425 -34.6165874476537,-58.4037322790922 -34.6183835311421,-58.4028425623206 -34.621124743411,-58.4026694373374 -34.6216951254195,-58.4025860726104 -34.6220021440241,-58.4025092016268 -34.6223103185445,-58.402322730424 -34.6230923205019)",67,LINEA H
"LINESTRING (-58.402322730424 -34.6230923205019,-58.4014875789382 -34.6265944521335,-58.4014102607654 -34.6269255062122,-58.4013441458597 -34.6272353816048,-58.4012386671101 -34.6278088639714,-58.4009695560165 -34.6293756575728)",66,LINEA H
"LINESTRING (-58.4009695560165 -34.6293756575728,-58.4007759057099 -34.6305030831911,-58.4007310033968 -34.6307564268509,-58.4005946531101 -34.6313269525721,-58.4004828777912 -34.6316686355947,-58.4000988077881 -34.6325840389237,-58.3997727974947 -34.6334996109086,-58.3995950580249 -34.6339769522474,-58.3991835375471 -34.6350169529277,-58.3989275853601 -34.635750180343)",68,LINEA H
"LINESTRING (-58.3989275853601 -34.635750180343,-58.3988580314876 -34.6359412048429,-58.3988242486917 -34.6361910658728,-58.3988375362613 -34.6363854229382,-58.3989442352051 -34.6366196168782,-58.3991327678781 -34.6368742288409,-58.3994080714385 -34.6370687221048,-58.3996834434826 -34.6371743690269,-58.4015780555817 -34.6375780497075,-58.4028284959316 -34.6378177939932,-58.4036768327903 -34.6379947168051,-58.4057948259686 -34.6384059882851)",72,LINEA H
"LINESTRING (-58.4057948259686 -34.6384059882851,-58.4070343259485 -34.6386668187706,-58.4073055866349 -34.6386955654075,-58.4075768727605 -34.6386861472815,-58.4077673615271 -34.6386623806222,-58.4079924878926 -34.6386290881646,-58.4082407297602 -34.6385528709219,-58.4085697901141 -34.6384576069831,-58.4088699748652 -34.6383861820215,-58.4091990032088 -34.6383386215848,-58.4094818317351 -34.638329204283,-58.409753107333 -34.6383340928756,-58.410030130723 -34.6383771475207,-58.4102840518251 -34.6384440442182,-58.4106072033053 -34.6385634457137,-58.410988021517 -34.6387687402019,-58.411201485109 -34.6389262577301,-58.4114379844249 -34.6391696539462,-58.4116225433228 -34.6394034869106,-58.4117608924409 -34.6396945465442,-58.4118588588991 -34.639952195536,-58.4123851512005 -34.6412689433909)",73,LINEA H
"LINESTRING (-58.4054503284842 -34.6044902016081,-58.4051559092851 -34.6033430247065,-58.404802212662 -34.6018395612165,-58.4044960968695 -34.6008833933945,-58.4041799601176 -34.5998960214787,-58.4037214964387 -34.5984551117734)",78,LINEA H
"LINESTRING (-58.402376175035 -34.5945253962188,-58.4023478492065 -34.5944428762873,-58.4018462019522 -34.5933292737141,-58.401485782414 -34.5925387102758,-58.4011129520562 -34.5917268709659,-58.4010325116203 -34.5915634436067,-58.4004888240571 -34.5904589689895,-58.4003543899064 -34.5901892417859,-58.3998272915547 -34.5891303376556,-58.3987496842421 -34.5883894664548,-58.3980186554318 -34.5878995545464,-58.3976685487398 -34.587664915881,-58.3972155751019 -34.5874615464262)",80,LINEA H
"LINESTRING (-58.4037214964387 -34.5984551117734,-58.4036739938447 -34.5983058577185,-58.4034106078433 -34.5975387286706,-58.4030770265657 -34.5965670497258,-58.4028222351886 -34.5958248539399,-58.402376175035 -34.5945253962188)",79,LINEA H
